OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,nearmiss narrative,police,unsafe location mode,unsafe location time of day,unsafe location cause,unsafe location narrative,safe location mode,safe location cause,safe location narrative,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
20,unsafe,,,,,,,,,,,,walk,both,"poor-sidewalk, no-sidework, poor-street, poor-lighting, no-sign","This is a very uneven, cracked road with no to partial sidewalks making it a rough walk. Also the neighborhood has a lot of loose dogs and I feel unsafe walking through here. ",,,,,,,,,,10/1/2018,35.41082506,-119.0320756,LineString,"[[-119.034053999649,35.4115870001223],[-119.034053999649,35.4115870001223],[-119.032122999979,35.4114640003633],[-119.032122999979,35.4114640003633],[-119.032144999721,35.4086049998221],[-119.032144999721,35.4086049998221]]"
21,unsafe,,,,,,,,,,,,bike,both,"poor-street, other","As an experienced bicycle commuter, this stretch of road is always a risk.  No bike lanes and inadequate, deteriorated thin shoulders provide no room for error and force cyclists to take the thin lane with commercial truck traffic.",,,,,,,,,,10/1/2018,35.26693496,-119.0318331,LineString,"[[-119.039032000322,35.2669430000142],[-119.039032000322,35.2669430000142],[-119.024633999679,35.2668210003417],[-119.024633999679,35.2668210003417]]"
22,positive,,,,,,,,,,,,,,,,bike,"car-traffic, clear-sign, no-obstacle, other","The speed limits are low in this residential neighborhood. The arterial streets surrounding the neighborhood are really scary (stockdale, new stine, Ashe, and Ming ) I avoid those streets as much as possible, but it is the only option to get to the safe neighborhoods to ride through. People don’t want to bike because of these scary roads. There needs to be a better network for biking. Wide street with little traffic and a great connection from new stine to Ashe. ",,,,,,,10/1/2018,35.34371967,-119.0679469,LineString,"[[-119.060469000105,35.3438350002771],[-119.070853999998,35.343764999762],[-119.072828000224,35.344395000016],[-119.074286999891,35.3427850001051]]"
23,unsafe,,,,,,,,,,,,bike,day,poor-street,"The shoulder is very uneven, has many wide cracks and very dirty the road needs to be maintained",,,,,,,,,,10/1/2018,35.435439,-118.9011105,LineString,"[[-118.90329100032,35.4398170002141],[-118.90329100032,35.4398170002141],[-118.903077000059,35.4380159998931],[-118.903077000059,35.4380159998931],[-118.902712000186,35.4368099999103],[-118.902712000186,35.4368099999103],[-118.902196999627,35.4357079998216],[-118.902196999627,35.4357079998216],[-118.900994999878,35.4347469998403],[-118.900994999878,35.4347469998403],[-118.899943999742,35.4342919996594],[-118.899943999742,35.4342919996594],[-118.898721000076,35.4336799997723],[-118.898721000076,35.4336799997723],[-118.89799100033,35.4334699998155],[-118.89799100033,35.4334699998155],[-118.89713299964,35.433156000148],[-118.89713299964,35.433156000148],[-118.896059999762,35.4327530000184],[-118.896059999762,35.4327530000184]]"
24,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,The poor pavement quality here is hazardous. ,,,,,,,,,,10/1/2018,37.83044842,-122.2555943,LineString,"[[-122.256203000188,37.8304969998604],[-122.255311999885,37.8303400003067],[-122.255049000119,37.8302089999986]]"
25,positive,,,,,,,,,,,,,,,,walk,"good-sidewalk, other","The city recently completed improvements narrowing the street,  putting in curb extensions, and striping bike lanes. It is much easier now to cross Marin on foot and in the car.",,,,,,,10/1/2018,37.88722,-122.29639,LineString,"[[-122.295233999782,37.8873179999585],[-122.297530000224,37.8868270001166]]"
26,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,,,,,,,,,,,10/1/2018,37.86722269,-122.263246,LineString,"[[-122.263111999632,37.865621999652],[-122.263648999932,37.8681800001962]]"
27,nearMiss,10/11/2018,bike,night,driver,,none,,,poor-lighting,Walked bicycle through crosswalk across intersection and incoming westbound driver did not stop for me. I had to wave my arms back and forth to indicate my presence. Driver eventually sis ,,,,,,,,,,,,,,,10/1/2018,37.85584561,-122.2623775,LineString,"[[-122.262382999711,37.8557790001916],[-122.26237199984,37.8559229999947]]"
28,nearMiss,10/11/2018,bike,night,driver,,none,,,poor-lighting,Walked  northbound across crosswalk with bicycle. Westbound traffic did not stop until I waved my hands back and forth. ,,,,,,,,,,,,,,,10/1/2018,37.8558611,-122.2623235,LineString,"[[-122.262334000205,37.8558380002484],[-122.262313000289,37.8559270002807]]"
29,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, obstacle, driving-speed",,,,,,,,,,,10/1/2018,37.80391487,-122.269946,LineString,"[[-122.27216699973,37.8004260002323],[-122.267725000431,37.8073430003456]]"
30,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, driving-speed",,,,,,,,,,,10/1/2018,33.99207317,-118.444698,LineString,"[[-118.447123000106,33.9908399997028],[-118.442273000378,33.9932419997031]]"
31,unsafe,,,,,,,,,,,,"bike, scooter","day, night","poor-bikelane, driving-speed",This street could really use bike lanes. Cars move by fast and in some areas the street appears wide enough for lanes to be added.,,,,,,,,,,10/1/2018,34.04014,-118.4287545,LineString,"[[-118.420858000336,34.0307540002471],[-118.436651000174,34.0495299996319]]"
32,unsafe,,,,,,,,,,,,bike,day,"poor-bikelane, poor-street, no-yield, driving-speed, other","There is not enough space for a car and bike to share the lane. I take the lane to discourage unsafe passing, but motorist pass unsafely across the double yellow line and drive on the wrong side of the road endangering themselves and oncoming traffic. ",,,,,,,,,,10/1/2018,38.01102318,-120.4042119,LineString,"[[-120.402345999681,38.0047519996716],[-120.40346100029,38.0071189998005],[-120.403632999819,38.0105009999367],[-120.404663000039,38.0127319998439],[-120.404834999568,38.0148290001637],[-120.406895000008,38.0167900003422]]"
33,positive,,,,,,,,,,,,,,,,bike,good-bikelane,,,,,,,,10/1/2018,37.77412421,-122.404604,LineString,"[[-122.396707999704,37.7677630000331],[-122.412499999716,37.7805520002638]]"
34,unsafe,,,,,,,,,,,,bike,"day, night",poor-bikelane,,,,,,,,,,,10/1/2018,37.78452366,-122.3955055,LineString,"[[-122.401342000419,37.7891330000113],[-122.389668999665,37.780009000354]]"
35,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, obstacle, no-yield, driving-speed",This stretch desperately needs a bike lane,,,,,,,,,,10/1/2018,37.80607224,-122.2755035,LineString,"[[-122.280899999612,37.8083090003435],[-122.270107000188,37.8038500001512]]"
36,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, poor-lighting, driving-speed, other","This could be a major pedestrian/bike asset but high speeds and car volumes create a dangerous environment. Also, there are no crossings for pedestrians/bikes along the entire stretch.",,,,,,,,,,10/1/2018,35.2656991,-120.6532575,LineString,"[[-120.656604999594,35.2699870002164],[-120.649910000411,35.2613470000676]]"
37,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, other",Needs a Sharrow,,,,,,,,,,10/1/2018,35.37814215,-119.0388842,LineString,"[[-119.038657000403,35.3781990000638],[-119.039110000139,35.3781859999905],[-119.038659999878,35.3781950002105]]"
38,unsafe,,,,,,,,,,,,"walk, bike","day, night",poor-bikelane,"Cars travel over a well lit, good site line bridge, while walkers and bikers are relegated to a dark, unsafe feeling side bridge with stairs on both ends.  How about some equity?",,,,,,,,,,10/1/2018,37.83904286,-122.2915005,LineString,"[[-122.292938000239,37.838733000118],[-122.290062999665,37.8392080000151]]"
39,nearMiss,Aug-18,wheelchair,day,driver,,none,,,no-yield,,,,,,,,,,,,,,,,10/1/2018,37.86786842,-122.265686,LineString,"[[-122.265690000106,37.8679399998569],[-122.26568199971,37.8679740002834]]"
40,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, poor-lighting, driving-speed",,,,,,,,,,,10/1/2018,37.82331572,-122.2591855,LineString,"[[-122.258519999647,37.8243280000568],[-122.259851000166,37.8222259997681]]"
41,incident,2/5/2014,walk,night,ped,,sev,,,,,yes,,,,,,,,,,,,,,10/1/2018,38.638746,-121.377554,LineString,"[[-121.382661000426,38.6372880000341],[-121.372447000237,38.6409079997603]]"
42,unsafe,,,,,,,,,,,,"walk, ride","day, night","poor-lighting, obstacle, no-yield","There are some pedestrian crossings here, but the entrances are really hard to see behind bushes and parked cars. Pedestrians can suddenly appear, drivers are not aware of the hazard.",,,,,,,,,,10/1/2018,37.86157387,-122.285354,LineString,"[[-122.289366000429,37.8611269999096],[-122.281342000376,37.8621209998091]]"
43,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, driving-speed","This road is a  45 mph zone, it has a class II bike lane that  is poor, and is unsafe. The bike lane spreads into the curb and gutter so much that Bik Lan is all that shows up  on painted streets  and there is nothing that separates cyclists from cars.",,,,,,,,,,10/1/2018,38.25245774,-121.9883756,LineString,"[[-121.988092999978,38.264800000137],[-121.988574000201,38.2412400002043],[-121.989294999727,38.2407269999476],[-121.989673000018,38.2404850000788]]"
44,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, driving-speed","People drive very aggressively though this stretch of San Pablo Avenue. Because of the parallel parked cars, I feel like I need to take the lane to avoid being doored, but this seems to irritate drivers.",,,,,,,,,,10/1/2018,37.83968457,-122.282445,LineString,"[[-122.279162000286,37.8290059996993],[-122.285727999598,37.850256000231]]"
45,nearMiss,1/1/2019,bike,day,driver,,none,,,other,almost ran over,,,,,,,,,,,,,,,10/1/2018,37.86707927,-122.283915,LineString,"[[-122.283946999716,37.8673239997575],[-122.283883000142,37.8668159998258]]"
46,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, other",Angled parking on the east side of the street makes it difficult for drivers to see people riding bikes. ,,,,,,,,,"319-599 N Palm Ave, Alhambra, CA, 91801, USA",1/28/2019,34.09670587,-118.1466684,LineString,"[[-118.14656500023,34.0947650001757],[-118.146651000444,34.0986479998908]]"
47,unsafe,,,,,,,,,,,,"walk, bike","day, night",,"Although still in a residential area, this 4 lane road remains extremely busy at most times of day, without any sort of pedestrian bridge, crosswalk or intersection, rendering it nearly impossible to cross safely as a pedestrian or cyclist.",,,,,,,,,"2881 Broad St, San Luis Obispo, CA, 93401, USA",1/29/2019,35.26347042,-120.6516088,LineString,"[[-120.656438999913,35.2696410002005],[-120.647220999609,35.2570510002664]]"
48,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, poor-lighting, driving-speed",,,,,,,,,,"1139 Gilman St, Albany, CA, 94706, USA",1/29/2019,37.88082515,-122.2943056,LineString,"[[-122.298002000227,37.880053000321],[-122.290791999586,37.8815599998555]]"
49,incident,Jan-19,bike,day,driver,,minor,"no-yield, unsafe-speed",,,,yes,,,,,,,,,,,,,"10114-10182 N Stelling Rd, Cupertino, CA, 95014, USA",1/31/2019,37.32509903,-122.0414084,LineString,"[[-122.041483999682,37.3251000001243],[-122.041472999811,37.3250979999514]]"
50,unsafe,,,,,,,,,,,,"walk, bike","day, night",driving-speed,"People drive significantly above the speed limit. This is a small residential street with a school, but people often drive at least 40 mph. ",,,,,,,,,"387-473 S El Molino Ave, Pasadena, CA, 91101, USA",2/5/2019,34.13816485,-118.1369132,LineString,"[[-118.136844999785,34.1403670003224],[-118.136888000341,34.1359629998878]]"
51,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, driving-speed",No bike facilities on this stretch of Dublin Blvd and high vehicle speeds. ,,,,,,,,,"7120 Dublin Blvd, Dublin, CA, 94568, USA",2/15/2019,37.70589657,-121.9227824,LineString,"[[-121.910923000018,37.7045760001501],[-121.912776999695,37.703815000264],[-121.922595999874,37.70596099985],[-121.935436000217,37.7024029997727]]"
52,nearMiss,2/18/2019,walk,day,driver,,none,,,unsafe-speed,"This is a commuter corridor in which vehicles routinely speed through.  It is unsafe doe pedestrians and bicyclist as well.  This corridor cuts through high density housing, so it poses a continual threat to safety.",,,,,,,,,,,,,,"1350-1398 34th St, Emeryville, CA, 94608, USA",2/19/2019,37.82614368,-122.2832349,LineString,"[[-122.284032999929,37.8259300003269],[-122.283099999794,37.8261239999097],[-122.282423999576,37.8259629997835]]"
53,unsafe,,,,,,,,,,,,"bike, scooter","day, night","poor-street, poor-lighting, driving-speed, other",Road conditions are really bad for anything on two wheels. Cars drive quickly through this section of road making it worse.,,,,,,,,,"2208-2298 6th St, Berkeley, CA, 94710, USA",2/19/2019,37.86360429,-122.2963416,LineString,"[[-122.297509000307,37.8676030001412],[-122.295427000126,37.8608389997871],[-122.294074999691,37.8602119997582]]"
54,unsafe,,,,,,,,,,,,"bike, ride",day,"poor-lighting, poor-sign, no-yield, driving-speed, other",People continuously make poor decisions at this off ramp. It's hard sometimes to navigate cross such a busy intersection and probably needs a traffic light.,,,,,,,,,"I-580 W, Berkeley, CA, 94710, USA",2/19/2019,37.87815292,-122.3071511,LineString,"[[-122.30778700007,37.8784480000511],[-122.307658000199,37.878041999682],[-122.306080999633,37.8784059999455]]"
55,unsafe,,,,,,,,,,,,bike,"day, night","poor-street, no-yield, driving-speed","The potholes make cycling very unsafe, and the area is very congested from street traffic and the freeway onramp, and many drivers stall in the middle of the street or on the shoulder, forcing cyclists to make unsafe maneuvers to get through.",,,,,,,,,"Blackwater Station, 4901 Telegraph Ave, Oakland, CA, 94609, USA",2/20/2019,37.83585001,-122.26265,LineString,"[[-122.264141999852,37.829920999722],[-122.261610000307,37.8419869996953]]"
56,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-lighting, obstacle","Intermittent bike lane forces traffic to converge without warning.
Poor lighting under the freeway.
Often construction items under/around the freeway, in the bike lane.",,,,,,,,,"501-511 Sonora Ave, Glendale, CA, 91201, USA",2/26/2019,34.16099342,-118.293609,LineString,"[[-118.295673999757,34.1589510000411],[-118.29147900033,34.1629629998206]]"
57,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, driving-speed",Bike lane ends with no warning. ,,,,,,,,,"330-398 S Glenoaks Blvd, Burbank, CA, 91502, USA",2/26/2019,34.18112897,-118.3032749,LineString,"[[-118.297326999592,34.1768379998296],[-118.301338999619,34.1796779997994],[-118.309213999709,34.1854119999638]]"
58,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, driving-speed","Lack of bike infrastructure over the freeway and train tracks. 

Bikes are forced to mix with traffic on a relatively steep bridge where people drive cars at excessive speed. ",,,,,,,,,"16-98 W Magnolia Blvd, Burbank, CA, 91502, USA",2/26/2019,34.17944619,-118.3154782,LineString,"[[-118.313000999604,34.1818970000259],[-118.316993000437,34.1780540000195],[-118.318409000447,34.1774769996848]]"
59,unsafe,,,,,,,,,,,,bike,"day, night",poor-bikelane,Gap in bike lanes heading west on Chandler. Lack of consideration for people on bikes navigating the light cycle around Tujunga.,,,,,,,,,"Chandler Blvd, North Hollywood, CA, 91601, USA",2/26/2019,34.16808994,-118.3782168,LineString,"[[-118.376633999985,34.1681210001268],[-118.378908999611,34.1681119999917],[-118.378941000297,34.1688490000353]]"
60,unsafe,,,,,,,,,,,,"walk, bike, scooter, transit","day, night","poor-sidewalk, poor-bikelane, poor-lighting, poor-sign, no-yield, driving-speed","This underpass is extremely dangerous for pedestrians and cyclists. I walk through here multiple times a week from North Tahoe Park to the light rail station where I either take the light rail to catch a train to San Francisco or take a Megabus or Flixbus to San Francisco. Every-time i walk through here I feel my life is in danger because of the hostile walking environment. The highway on and off ramps don't have crosswalks for pedestrians, so you have to wait until a car isn't coming because they surely wont stop for you. The cars are speeding up to get on the freeway or speeding off of it. The lighting is also inadequate. The bike lanes are merely painted on and drivers don't pay any attention to them. The worst part is that this is near a busy transit station, which includes light rail, local bus, and buses to San Francisco. It's also the closest light rail station to Sacramento State. This area should be safe for pedestrians and cyclists connecting to the college, light rail stati",,,,,,,,,"65th St, Sacramento, CA, 95817, USA",3/6/2019,38.55103504,-121.427811,LineString,"[[-121.427793999726,38.5493740000078],[-121.427850999627,38.5526849997235]]"
61,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,"the pavement is horrible and unsafe. I skid out on my bike all of the time, cars skid out, too.AC road is breaking up all over the place and difficult to traverse safely  ",,,,,,,,,"2703 Mathews St, Berkeley, CA, 94702, USA",3/11/2019,37.85766765,-122.2865,LineString,"[[-122.287337999776,37.8613869996939],[-122.285449999764,37.8539369999749]]"
62,unsafe,,,,,,,,,,,,"bike, scooter","day, night","poor-sign, driving-speed","This is a main connector through the City.  This is supposed to be designated as a bike route in the General Plan, though there are no road markings or signage indicating as such.   This road connects 2 schools, a library, 2 community centers and a Class I path.  The fact that there is no supporting infrastructure for bikes is embarrassing.  ",,,,,,,,,"548-576 Pintail Dr, Suisun City, CA, 94585, USA",3/12/2019,38.24938328,-122.0102678,LineString,"[[-121.988273999728,38.2489040001261],[-121.992325000112,38.2489109998273],[-121.993063000254,38.2488499996875],[-121.99778400011,38.247678000037],[-121.998662999819,38.2474720003176],[-121.999363000326,38.2473649997705],[-122.000281000393,38.2473270000724],[-122.002988999664,38.2473310001901],[-122.003513000444,38.2474079999434],[-122.004040999626,38.247587000209],[-122.0071560004,38.2487320000004],[-122.007809000153,38.2489550001508],[-122.009096000291,38.2492439998498],[-122.00991200025,38.2493320000669],[-122.010748000302,38.2493549997533],[-122.011637000056,38.2493660001223],[-122.015920000244,38.2494569998394],[-122.01750299976,38.2494500001908],[-122.018486000124,38.2493449997372],[-122.021507000289,38.2493220000476],[-122.022120999684,38.2493420000848],[-122.023426000263,38.2495980000755],[-122.023901999566,38.2496550003033],[-122.025012999977,38.2496320000064],[-122.029673999558,38.2472529999721],[-122.031699999663,38.2462090001757]]"
63,unsafe,,,,,,,,,,,,bike,"day, night","no-yield, driving-speed",Drivers avoiding congestion at ashby and college use this cut through. Many -- especially UBER and Lyft drivers following GPS -- travel at high rates of speed and fail to yield to cyclists (this street is marked as a bike boulevard) or pedestrians. Traffic calming or barriers to move drivers back onto college are needed.,,,,,,,,,"3001-3099 Hillegass Ave, Berkeley, CA, 94705, USA",3/13/2019,37.85522156,-122.2548587,LineString,"[[-122.255502999681,37.8567239997495],[-122.254972999951,37.8557539997686],[-122.254769999562,37.8536220001987]]"
64,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,Lots of potholes and poor quality asphalt that is dangerous while driving.,,,,,,,,,"2330-2398 Ellsworth St, Berkeley, CA, 94704, USA",3/13/2019,37.86634032,-122.2634124,LineString,"[[-122.26297199989,37.8645399999563],[-122.263766000108,37.8681670000087]]"
65,unsafe,,,,,,,,,,,,bike,"day, night",no-yield,"There are a lot of bikes traveling on this street to connect to campus and the bancroft cycletrack. Now that auto traffic has been squeezed into one lane, there's little room for bikes to share the auto with auto drivers and parked cars. The street should be re engineered with a protected bike lane.",,,,,,,,,"2301-2329 Ellsworth St, Berkeley, CA, 94704, USA",3/13/2019,37.86770748,-122.2635782,LineString,"[[-122.263511999665,37.8672099999297],[-122.263742999644,37.8681810001014]]"
66,unsafe,,,,,,,,,,,,bike,"day, night",poor-street,"Road pavement is extremely poor and is damaging to vehicles, notably bicycles. Because of all the oneways, I am often forced down Parker, which is always dangerous and not good for my bike.",,,,,,,,,"2600-2614 Parker St, Berkeley, CA, 94704, USA",3/13/2019,37.86338397,-122.2561772,LineString,"[[-122.253842000347,37.8635890000942],[-122.258519999647,37.8632840001473]]"
67,unsafe,,,,,,,,,,,,bike,"day, night",poor-bikelane,,,,,,,,,,"Berkeley Typewriter, 1823 University Ave, Berkeley, CA, 94703, USA",3/13/2019,37.87149003,-122.2742,LineString,"[[-122.268337000176,37.872301000033],[-122.2799070001,37.8707400003224]]"
68,unsafe,,,,,,,,,,,,"walk, bike, ride","day, night","poor-bikelane, no-yield, driving-speed",,,,,,,,,,"1969 Tuolumne St, Vallejo, CA, 94589, USA",3/18/2019,38.12792013,-122.2388068,LineString,"[[-122.238307000253,38.1258470000738],[-122.239273,38.1292230001256]]"
69,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-sidewalk, poor-bikelane, poor-sign",Busy road with lots of pedestrian and bicycle traffic intermixing.  No sidewalk or bike lane on this stretch of Marina Blvd.  This is especially concerning as it is a school route and connects directly to the Countywide Bike Trail along SR12. ,,,,,,,,,"238-258 Marina Blvd, Suisun City, CA, 94585, USA",3/20/2019,38.24548426,-122.0314888,LineString,"[[-122.031676000272,38.2461520000673],[-122.031461000187,38.2457349999571],[-122.031410000133,38.2453769997407],[-122.031452999791,38.24497299987],[-122.031513000065,38.2448049998704]]"
70,unsafe,,,,,,,,,,,,,,,,,,,,,,,,"1021 Mariposa St, Vallejo, CA, 94590, USA",3/25/2019,38.11427026,-122.2317162,LineString,"[[-122.23474499959,38.1147390002228],[-122.234648000404,38.11330399987],[-122.231568999615,38.1132450000919],[-122.231848000172,38.115212000258],[-122.232782000133,38.115077000269],[-122.233694000352,38.114908000088],[-122.234670000145,38.1146800001902],[-122.234691000062,38.1154479997965],[-122.234465999931,38.1161570002615]]"
71,unsafe,,,,,,,,,,,,walk,day,"poor-sidewalk, driving-speed",This area has no sidewalk on the west side of the street and is very hazardous to pedestrians. People drive at high rates of speed here. ,,,,,,,,,"3977-4115 Sonoma Blvd, Vallejo, CA, 94589, USA",3/25/2019,38.13008306,-122.255998,LineString,"[[-122.255859000231,38.1278560002199],[-122.256331000234,38.1322950003495]]"
72,unsafe,,,,,,,,,,,,walk,"day, night","poor-sidewalk, other",There is a very long distance between a mid-block crosswalk and the intersection at Hillsdale. This is a residential neighborhood with a school along this stretch of Diablo.  ,,,,,,,,,"4969-5003 Diablo Dr, Sacramento, CA, 95842, USA",4/2/2019,38.67502706,-121.3497557,LineString,"[[-121.352233999944,38.6751240001479],[-121.347277000087,38.6750070001463]]"
73,unsafe,,,,,,,,,,,,bike,,,Drivers often double-parked pulled over in shared travel lane ,,,,,,,,,"2527-2579 Bancroft Way, Berkeley, CA, 94704, USA",4/4/2019,37.86894501,-122.2578242,LineString,"[[-122.252704999997,37.8696529997646],[-122.262940000103,37.8682139998028]]"
74,positive,,,,,,,,,,,,,,,,walk,,,,,,,,"3014 Hillegass Ave, Berkeley, CA, 94705, USA",4/4/2019,37.85522463,-122.2549686,LineString,"[[-122.255547999887,37.8567619999174],[-122.255054999967,37.8558889996824],[-122.254850999753,37.853584999934]]"
75,incident,,bike,,,,,,,,,,,,,,,,,,,,,,"429 N Kilkea Dr, Los Angeles, CA, 90048, USA",4/4/2019,34.07901317,-118.3669757,LineString,"[[-118.36855499968,34.0790470002531],[-118.367740000444,34.0790650001487],[-118.366301999795,34.0789579999691],[-118.366891999799,34.0788780003028]]"
76,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, car-traffic",safe side street,,,,,,"6401-6499 Yucca St, Los Angeles, CA, 90028, USA",4/4/2019,34.10398142,-118.3309096,LineString,"[[-118.338665000397,34.1031969999995],[-118.333353999639,34.1031969999995],[-118.333353999639,34.1034100002447],[-118.332173999631,34.1033920003181],[-118.331884000101,34.1035249998923],[-118.331766000101,34.1039609996593],[-118.329652999957,34.1039340003156],[-118.32858000008,34.104041000171],[-118.326647999686,34.1037030000413],[-118.325168000103,34.1037300002025],[-118.322485999872,34.1037650002058]]"
77,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, car-traffic",safe side street,,,,,,"6425 Selma Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.09978553,-118.3305243,LineString,"[[-118.338632999712,34.0997049999599],[-118.334813000204,34.0996959999749],[-118.333858000328,34.0998029999822],[-118.32234600013,34.0998380001221]]"
78,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, car-traffic",safe side street,,,,,,"1217 N El Centro Ave, Los Angeles, CA, 90038, USA",4/4/2019,34.092819,-118.3246335,LineString,"[[-118.323827000437,34.1016949996647],[-118.323783999881,34.0960800002286],[-118.324535000441,34.0944099996547],[-118.324512999802,34.0834810002945]]"
79,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, car-traffic",safe side street,,,,,,"800-898 Seward St, Los Angeles, CA, 90038, USA",4/4/2019,34.08708936,-118.3331007,LineString,"[[-118.322217000259,34.0870709999946],[-118.344104000304,34.0871070000907]]"
80,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, car-traffic",safe side street,,,,,,"7801-7849 Willoughby Ave, Los Angeles, CA, 90046, USA",4/4/2019,34.0872378,-118.3602834,LineString,"[[-118.344083000387,34.0871239998621],[-118.361355999808,34.087195000096],[-118.36704300031,34.0871420002728],[-118.376484000197,34.0869999996568]]"
81,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, car-traffic",safe side street,,,,,,"1300-1328 Wilcox Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.09437338,-118.3309398,LineString,"[[-118.331015000438,34.1052670002434],[-118.33103700018,34.1016060001284],[-118.330971999882,34.097964000176],[-118.33103700018,34.0907320002309],[-118.330993999624,34.0870889996726],[-118.330993999624,34.0834810002945]]"
82,unsafe,,,,,,,,,,,,"bike, scooter","day, night","poor-bikelane, poor-street, no-yield, driving-speed","marked as a bicycle route but I don't feel safe. High speed traffic, only sharrows. Road isn't in great shape.",,,,,,,,,"6316 Fountain Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.0943425,-118.3270932,LineString,"[[-118.326702000113,34.1050180003085],[-118.326615999899,34.0835169996849]]"
83,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, car-traffic",safe neighborhood route,,,,,,"1850-1898 Rodney Dr, Los Angeles, CA, 90027, USA",4/4/2019,34.10539019,-118.2895544,LineString,"[[-118.300609999698,34.1053730002174],[-118.278637000337,34.1054089999678]]"
84,unsafe,,,,,,,,,,,,"bike, scooter","day, night","poor-bikelane, driving-speed","high speed traffic, no space for bikes.",,,,,,,,,"5042 Los Feliz Blvd, Los Angeles, CA, 90027, USA",4/4/2019,34.10962282,-118.2997293,LineString,"[[-118.309278000181,34.1054089999678],[-118.309320999839,34.1077539997436],[-118.308720999789,34.1078600003207],[-118.28747700035,34.1119110003061]]"
85,unsafe,,,,,,,,,,,,"bike, scooter","day, night","poor-bikelane, driving-speed","high speed, no good space for bikes or scooters.",,,,,,,,,"1500-1534 N Van Ness Ave, Los Angeles, CA, 90028, USA",4/4/2019,34.09805273,-118.3157128,LineString,"[[-118.287391999961,34.0981239998172],[-118.344168999703,34.0979819997695]]"
86,unsafe,,,,,,,,,,,,"bike, scooter","day, night","poor-bikelane, driving-speed",Fairly high speed route with no space for bikes and scooters.,,,,,,,,,"5927 Hollywood Blvd, Los Angeles, CA, 90028, USA",4/4/2019,34.1016965,-118.3188142,LineString,"[[-118.293055999998,34.1018199996409],[-118.345284000311,34.1016060001284]]"
87,nearMiss,Jul-18,bike,day,driver,,none,,,poor-bikelane,Big tour buses partially blocking bike lanes.  Very bad during tourist season.  https://youtu.be/GPj1VP7xMt0,,,,,,,,,,,,,,"101 Broadway, Santa Monica, CA, 90401, USA",4/5/2019,34.01302741,-118.4961832,LineString,"[[-118.498085000197,34.0140720002125],[-118.49495199988,34.0115289997745]]"
88,incident,Jan-19,bike,day,driver,,none,poor-bikelane,,,,no,,,,,,,,,,,,,"901-1231 N Spring St, Los Angeles, CA, 90012, USA",4/7/2019,34.06376243,-118.2356539,LineString,"[[-118.236859000215,34.0589349998634],[-118.235700000123,34.0635209999645],[-118.235163999648,34.0647479998702],[-118.233532999553,34.0661159998717],[-118.231257999927,34.0665610001035]]"
89,unsafe,,,,,,,,,,,,bike,"day, night",poor-sign,The problem with this newly implemented bike lane is every single intersection is a stoplight that is not timed for cyclists. Most cyclists end up having to run a few red lights otherwise they'd be mounting and dismounting every 30 seconds. ,,,,,,,,,"Parking, 332 W 11th St, Los Angeles, CA, 90015, USA",4/7/2019,34.0413,-118.26164,LineString,"[[-118.258101999829,34.0390669999299],[-118.26517199983,34.0437080003036]]"
